urn,school_name,la_name,decision,c2,c2_evidence,c2_policy_url,c2_policy_year,years_found,years_not_applied,c5_note,sources_tried,notes,updated
136914,Glenthorne High School,Sutton,needs_manual,unclear,Sutton allocation page gives furthest distance 'N/A' because of how the school ranks applications (not by distance alone),https://www.sutton.gov.uk/schools-and-learning/school-admissions/national-offer-day-secondary-schools/secondary-school-allocation-information,,,,,,,2026-09-12
100967,Morpeth School,Tower Hamlets,excluded,fail,"Tower Hamlets secondary prospectus (entry 2026): distance 'measured by the shortest walking route'; CATS4 ability quartile banding for community schools, Mulberry academies and St Paul's Way Trust",https://www.towerhamlets.gov.uk/Documents/Education-and-skills/Admissions-and-exclusions/SecondarySchoolprospectus.pdf,2026 entry prospectus (banding and walking route are long-standing TH arrangements; earlier years not separately checked),,,,,,2026-09-12
137789,Mulberry Academy Shoreditch,Tower Hamlets,excluded,fail,"Tower Hamlets secondary prospectus (entry 2026): distance 'measured by the shortest walking route'; CATS4 ability quartile banding for community schools, Mulberry academies and St Paul's Way Trust",https://www.towerhamlets.gov.uk/Documents/Education-and-skills/Admissions-and-exclusions/SecondarySchoolprospectus.pdf,2026 entry prospectus (banding and walking route are long-standing TH arrangements; earlier years not separately checked),,,,,,2026-09-12
143629,Mulberry School for Girls,Tower Hamlets,excluded,fail,"Tower Hamlets secondary prospectus (entry 2026): distance 'measured by the shortest walking route'; CATS4 ability quartile banding for community schools, Mulberry academies and St Paul's Way Trust",https://www.towerhamlets.gov.uk/Documents/Education-and-skills/Admissions-and-exclusions/SecondarySchoolprospectus.pdf,2026 entry prospectus (banding and walking route are long-standing TH arrangements; earlier years not separately checked),,,,,,2026-09-12
143379,St Paul's Way Trust School,Tower Hamlets,excluded,fail,"Tower Hamlets secondary prospectus (entry 2026): distance 'measured by the shortest walking route'; CATS4 ability quartile banding for community schools, Mulberry academies and St Paul's Way Trust",https://www.towerhamlets.gov.uk/Documents/Education-and-skills/Admissions-and-exclusions/SecondarySchoolprospectus.pdf,2026 entry prospectus (banding and walking route are long-standing TH arrangements; earlier years not separately checked),,,,,,2026-09-12
100973,Swanlea School,Tower Hamlets,excluded,fail,"Tower Hamlets secondary prospectus (entry 2026): distance 'measured by the shortest walking route'; CATS4 ability quartile banding for community schools, Mulberry academies and St Paul's Way Trust",https://www.towerhamlets.gov.uk/Documents/Education-and-skills/Admissions-and-exclusions/SecondarySchoolprospectus.pdf,2026 entry prospectus (banding and walking route are long-standing TH arrangements; earlier years not separately checked),,,,,,2026-09-12
103103,Walthamstow School for Girls,Waltham Forest,draft_include,"pass (LBWF community criteria, 2025 booklet)","EHCP; looked after; (medical/social per LBWF criteria); siblings incl. cross-sibling with Norlington; school staff children; distance: straight line from the centre of the school (Routefinder GIS, miles)",https://www.walthamforest.gov.uk/sites/default/files/2024-09/Starting%20Secondary%20School%202025.pdf,2025 entry booklet,"2022,2023,2024",,"3 years, 1112-1230 m; CV about 0.05",,girls' community school; 2026 booklet would add entry 2025,2026-09-12
135316,Ashcroft Technology Academy,Wandsworth,excluded,fail,"Wandsworth 2026 offers: specialist aptitude places, remaining places allocated within ability bands A-E",https://www.wandsworth.gov.uk/media/ln4kgbvg/how_school_places_were_offered_for_secondary_schools_2026.pdf,,,,,,,2026-09-12
137005,Graveney School,Wandsworth,excluded,fail,Wandsworth 2026 offers: 70 selective (ability) places by test score plus non-selective places; partially selective,https://www.wandsworth.gov.uk/media/ln4kgbvg/how_school_places_were_offered_for_secondary_schools_2026.pdf,,,,,,,2026-09-12
140985,Harris Academy Battersea,Wandsworth,excluded,not checked,,https://www.wandsworth.gov.uk/media/ln4kgbvg/how_school_places_were_offered_for_secondary_schools_2026.pdf,,,,no binding distance cut-off: 'All applicants offered a place or a higher preference' (2026; earlier years not found),,also a Harris academy; its 2025-26 policy measures straight line and mentions no banding,2026-09-12
